1476007753.1476025492.ar3,0.00,48.03,215.35,-,0,wide_01h_s
1471352956.1471368774.ar3,0.00,45.53,244.58,-,0,day_02h_s
1467306939.1468335631.ar3,0.00,60.47,179.50,-,0,synctest
1467306914.1468335621.ar3,0.00,60.47,179.50,-,0,synctest
1460172919.1460641281.ar3,3.58,56.12,66.77,2.15,0,ground_map
1460173577.1460641669.ar3,3.77,56.12,53.22,2.27,0,ground_map
1460174234.1460642055.ar3,3.95,56.12,61.75,2.23,0,ground_map
1460429460.1460478791.ar3,2.85,51.13,66.76,2.00,0,ground_map
1460430117.1460478851.ar3,3.02,51.13,53.21,1.95,0,ground_map
1460430775.1460478910.ar3,3.20,51.13,55.50,1.94,0,ground_map
1460431432.1460478969.ar3,3.38,51.13,61.85,1.93,0,ground_map
1460432090.1460479026.ar3,3.57,51.13,40.17,1.82,0,ground_map
1460432747.1460479086.ar3,3.75,51.13,62.22,1.72,0,ground_map
1460433405.1460479146.ar3,3.93,51.13,55.50,1.70,0,ground_map
1460434062.1460479204.ar3,4.12,51.13,53.59,1.70,0,ground_map
1460434720.1460479268.ar3,4.30,51.13,66.38,1.71,0,ground_map
1460435377.1460479327.ar3,4.48,51.13,44.33,1.72,0,ground_map
1460436035.1460479389.ar3,4.67,51.13,60.09,1.73,0,ground_map
1460471815.1460500675.ar3,14.60,51.13,316.76,2.12,0,ground_map
1460472472.1460500734.ar3,14.78,51.13,303.21,2.07,0,ground_map
1460473130.1460500796.ar3,14.97,51.13,305.50,2.22,0,ground_map
1460473787.1460500871.ar3,15.15,51.13,311.85,2.22,0,ground_map
1460474445.1460500931.ar3,15.33,51.13,290.17,2.34,0,ground_map
1460475102.1460500996.ar3,15.52,51.13,312.22,2.34,0,ground_map
1460475760.1460501058.ar3,15.70,51.13,305.50,2.44,0,ground_map
1460476417.1460511728.ar3,15.88,51.13,303.59,2.46,0,ground_map
1460477075.1460511797.ar3,16.07,51.13,316.38,2.52,0,ground_map
1460477732.1460511859.ar3,16.25,51.13,294.33,2.49,0,ground_map
1460478390.1460511919.ar3,16.43,51.13,310.09,2.60,0,ground_map
1460483130.1460511976.ar3,17.75,60.46,66.78,2.50,0,ground_map
1460483787.1460512037.ar3,17.93,60.46,53.25,2.28,0,ground_map
1460484445.1460512102.ar3,18.12,60.46,55.53,2.23,0,ground_map
1460485102.1460512163.ar3,18.30,60.46,61.88,2.37,0,ground_map
1460485760.1460512241.ar3,18.48,60.46,40.20,2.17,0,ground_map
1460486417.1460512303.ar3,18.67,60.46,62.25,2.49,0,ground_map
1460487074.1460522196.ar3,18.85,60.46,55.53,2.39,0,ground_map
1460487732.1460522255.ar3,19.03,60.46,53.61,2.74,0,ground_map
1460488389.1460522322.ar3,19.22,60.46,64.74,2.53,0,ground_map
1460490206.1460522385.ar3,19.72,57.12,66.76,2.72,0,ground_map
1460490864.1460522448.ar3,19.90,57.12,53.23,2.83,0,ground_map
1460491521.1460522513.ar3,20.08,57.12,58.59,2.77,0,ground_map
1460492816.1460522561.ar3,20.43,57.12,66.76,2.72,0,ground_map
1460493473.1460522626.ar3,20.62,57.12,53.23,2.74,0,ground_map
1460494130.1460522690.ar3,20.80,57.12,55.51,2.97,0,ground_map
1460494788.1460522769.ar3,20.98,57.12,61.86,2.92,0,ground_map
1460495445.1460522882.ar3,21.17,57.12,40.17,3.26,0,ground_map
1460496103.1460522943.ar3,21.35,57.12,62.22,3.29,0,ground_map
1460496760.1460523051.ar3,21.53,57.12,55.51,3.13,0,ground_map
1460497418.1460523109.ar3,21.72,57.12,53.59,3.28,0,ground_map
1460498075.1460533743.ar3,21.90,57.12,66.40,3.09,0,ground_map
1460498733.1460533827.ar3,22.08,57.12,44.35,3.01,0,ground_map
1460499390.1460533889.ar3,22.27,57.12,60.10,3.11,0,ground_map
1460501043.1460533956.ar3,22.73,55.13,66.76,3.28,0,ground_map
1460501701.1460534018.ar3,22.92,55.12,53.22,3.28,0,ground_map
1460502358.1460534080.ar3,23.08,55.12,55.50,3.31,0,ground_map
1460503016.1460534143.ar3,23.27,55.12,61.86,3.19,0,ground_map
1460503673.1460534206.ar3,23.45,55.12,40.17,3.21,0,ground_map
1460504331.1460534332.ar3,23.63,55.12,62.22,3.15,0,ground_map
1460504988.1460534393.ar3,23.82,55.12,55.50,2.91,0,ground_map
1460505645.1460534451.ar3,0.00,55.12,53.58,2.99,0,ground_map
1460506303.1460534518.ar3,0.18,55.12,66.40,2.87,0,ground_map
1460506960.1460534577.ar3,0.37,55.12,44.35,2.78,0,ground_map
1460507618.1460534641.ar3,0.55,55.12,60.09,2.63,0,ground_map
1460512968.1460544068.ar3,2.03,60.46,305.53,1.42,0,ground_map
1460513626.1460544152.ar3,2.22,60.46,310.96,1.54,0,ground_map
1460514283.1460544249.ar3,2.40,60.46,305.53,1.52,0,ground_map
1460514940.1460544308.ar3,2.58,60.46,305.53,1.41,0,ground_map
1460515598.1460544370.ar3,2.77,60.46,303.32,1.44,0,ground_map
1460516255.1460544431.ar3,2.95,60.46,305.53,1.42,0,ground_map
1460516913.1460544493.ar3,3.13,60.46,306.46,1.42,0,ground_map
1460517570.1460544553.ar3,3.32,60.46,305.53,1.37,0,ground_map
1460518228.1460544615.ar3,3.50,60.46,305.53,1.33,0,ground_map
1460518885.1460544677.ar3,3.68,60.46,301.37,1.28,0,ground_map
1460519543.1460553835.ar3,3.87,60.46,305.53,1.18,0,ground_map
